1.00000000 0.00099593
0.98999313 0.00128825
0.97998688 0.00162379
0.96997956 0.00202919
0.95997249 0.00251097
0.94996562 0.00307381
0.93995883 0.00372533
0.92995203 0.00452204
0.91994497 0.00544302
0.90993829 0.00649030
0.89993128 0.00768682
0.88992413 0.00906650
0.87991727 0.01069181
0.86990999 0.02132095
0.85990307 0.02229766
0.84989615 0.02332957
0.83988928 0.02436578
0.82988242 0.02540165
0.81987567 0.02643233
0.80986880 0.02745311
0.79986241 0.02846059
0.78985524 0.02945242
0.77984796 0.03042623
0.76984127 0.03138037
0.75983446 0.03231357
0.74982752 0.03322471
0.73982047 0.03411234
0.72981327 0.03497509
0.71980595 0.03581151
0.70979960 0.03661997
0.69979204 0.03739785
0.68978505 0.03814285
0.67977724 0.03885374
0.66977000 0.03952961
0.65976266 0.04016987
0.64975445 0.04077377
0.63974681 0.04133994
0.62973911 0.04186832
0.61973135 0.04235925
0.60972352 0.04281304
0.59971563 0.04323098
0.58970768 0.04361465
0.57969968 0.04396552
0.56969165 0.04428524
0.55968360 0.04457600
0.54967585 0.04483997
0.53966743 0.04507872
0.52965932 0.04529331
0.51965119 0.04548478
0.50964307 0.04565397
0.49963494 0.04580119
0.48962680 0.04592668
0.47961867 0.04603068
0.46961053 0.04611352
0.45960239 0.04617554
0.44959425 0.04621703
0.43958611 0.04623796
0.42957798 0.04623837
0.41956984 0.04621839
0.40956171 0.04617794
0.39955358 0.04611671
0.38954546 0.04603436
0.37953735 0.04593060
0.36952925 0.04580513
0.35952116 0.04565757
0.34951308 0.04548758
0.33950501 0.04529490
0.32949695 0.04507877
0.31948891 0.04483834
0.30948088 0.04457274
0.29947287 0.04428107
0.28946488 0.04396245
0.27945693 0.04361585
0.26944902 0.04324034
0.25944116 0.04283546
0.24943335 0.04240086
0.23942560 0.04193696
0.22941791 0.04144384
0.21941029 0.04092140
0.20940274 0.04036974
0.19939527 0.03978827
0.18938789 0.03917599
0.17938062 0.03853145
0.16937347 0.03785158
0.15936646 0.03713258
0.14935963 0.03637007
0.13935301 0.03555805
0.12934669 0.03469074
0.11934083 0.03375945
0.10933556 0.03275225
0.09933099 0.03165446
0.08932729 0.03044760
0.07932471 0.02910871
0.06932347 0.02760743
0.05932392 0.02590633
0.04932747 0.02395901
0.03933283 0.02170999
0.02934583 0.01906704
0.01937336 0.01583354
0.00943852 0.01150211
0.00000000 0.00347796
0.00000000 -0.00347796
0.00950452 -0.01150211
0.01947264 -0.01583354
0.02946467 -0.01906704
0.03946257 -0.02170999
0.04946237 -0.02395901
0.05946354 -0.02590633
0.06946614 -0.02760743
0.07946970 -0.02910871
0.08947423 -0.03044760
0.09947923 -0.03165446
0.10948461 -0.03275225
0.11949020 -0.03375945
0.12949593 -0.03469074
0.13950174 -0.03555805
0.14950765 -0.03637007
0.15951368 -0.03713258
0.16951984 -0.03785158
0.17952611 -0.03853145
0.18953246 -0.03917599
0.19953883 -0.03978827
0.20954520 -0.04036974
0.21955155 -0.04092140
0.22955785 -0.04144384
0.23956410 -0.04193696
0.24957029 -0.04240086
0.25957642 -0.04283546
0.26958250 -0.04324034
0.27958856 -0.04361585
0.28959461 -0.04396245
0.29960069 -0.04428107
0.30960680 -0.04457274
0.31961295 -0.04483834
0.32961914 -0.04507877
0.33962537 -0.04529490
0.34963163 -0.04548758
0.35963791 -0.04565757
0.36964421 -0.04580513
0.37965051 -0.04593060
0.38965682 -0.04603436
0.39966314 -0.04611671
0.40966947 -0.04617794
0.41967581 -0.04621839
0.42968215 -0.04623837
0.43968848 -0.04623796
0.44969480 -0.04621703
0.45970113 -0.04617554
0.46970744 -0.04611352
0.47971373 -0.04603068
0.48972000 -0.04592668
0.49972625 -0.04580119
0.50973248 -0.04565397
0.51973869 -0.04548478
0.52974487 -0.04529331
0.53975100 -0.04507872
0.54975709 -0.04483997
0.55976313 -0.04457600
0.56976910 -0.04428524
0.57977497 -0.04396552
0.58978076 -0.04361465
0.59978653 -0.04323098
0.60979228 -0.04281304
0.61979801 -0.04235925
0.62980406 -0.04186832
0.63980963 -0.04133994
0.64981534 -0.04077377
0.65982119 -0.04016987
0.66982712 -0.03952961
0.67983309 -0.03885374
0.68983979 -0.03814285
0.69984557 -0.03739785
0.70985143 -0.03661997
0.71985819 -0.03581151
0.72986426 -0.03497509
0.73987118 -0.03411234
0.74987741 -0.03322471
0.75988402 -0.03231357
0.76989036 -0.03138037
0.77989729 -0.03042623
0.78990403 -0.02945242
0.79991112 -0.02846059
0.80991769 -0.02745311
0.81992434 -0.02643233
0.82993170 -0.02540165
0.83993895 -0.02436578
0.84994637 -0.02332957
0.85995370 -0.02229766
0.86886039 -0.02132095
0.87991329 -0.01069181
0.88993986 -0.00906650
0.89996109 -0.00768682
0.90997988 -0.00649030
0.91999632 -0.00544302
0.93001250 -0.00452204
0.94003010 -0.00372533
0.95004442 -0.00307381
0.96005762 -0.00251097
0.97007035 -0.00202919
0.98008213 -0.00162379
0.99009213 -0.00128825
1.00000000 -0.00099593
