VTAS,Drag,Lift,CL,CD,Alpha
76.8909,-13396.743516446335,-38680.370532485205,-1.601212389632452,0.4631915065689871,-0.5235987755982987
76.8909,-9877.162122385063,-33478.29426568925,-1.2512132326750676,0.37760836951244137,-0.46848311500900425
76.8909,-6793.172502690517,-28103.743837588478,-0.9012140757176852,0.30390697178106957,-0.41336745441970957
76.8909,-4433.222238385489,-22578.70663398889,-0.5512149187603074,0.242087313374872,-0.35825179383041506
76.8909,-1946.4456089160933,-16924.854160885465,-0.20121576180293355,0.19214939429384834,-0.3031361332411204
76.89089999999999,-189.70693200108326,-11163.584755906702,0.14878339515443256,0.1540932145379986,-0.24802047265182575
76.8909,257.48820570576845,-5778.2153925264965,0.47106669568514803,0.12990344618360505,-0.19290481206253113
76.8909,1132.0539309491514,133.57261096374714,0.8210658526396544,0.11498635854526706,-0.13778915147323656
76.8909,1555.298135550319,6089.983144586551,1.1710650095971544,0.11195101023187577,-0.08267349088394192
76.8909,1525.942480824893,12070.183435045072,1.521064166554711,0.1207974012436629,-0.027557830294647284
76.8909,1043.0273699350096,18053.339600651583,1.8710633235123852,0.141525531580633,0.027557830294647347
76.8909,105.91071093776623,24018.555067298883,2.221062480470397,0.17413540124280166,0.08267349088394192
76.8909,-480.2611948287804,29944.80913574312,2.5710616374266535,0.21862701023007133,0.1377891514732365
76.8909,-2326.3858899667302,35810.896670668604,2.921060794383984,0.27500035854254995,0.19290481206253113
76.89089999999999,-4626.602236643721,41595.36987513552,3.2710599513413348,0.3432554461802021,0.24802047265182575
76.8909,-7380.104028345407,47276.48310213373,3.621059108298698,0.42339227314302785,0.30313613324112043
76.8909,-10585.632014572862,52832.14163486767,3.9710582652560684,0.5154108394310276,0.35825179383041506
76.8909,-14241.419916482102,58239.855342213705,4.321057422213445,0.6193111450442013,0.41336745441970957
76.8909,-18345.1323486759,63476.69808379163,4.671056579170827,0.7350931899825494,0.46848311500900425
76.8909,-23178.494017536075,68519.27370118143,5.021055736128211,0.8627569742460718,0.5235987755982987
