VTAS,Required Thrust,Required Power (kW),Total Torque,Available Power (kW),Drag,Lift,L/D Ratio,Rate of Descent,Propeller Efficiency,J Value
30.0,2895.747974396927,86.8724392319078,383.5440957957663,76.31282280186048,2895.747974396927,12193.944605414817,4.210982693669792,3.478430941246275,0.6758128876727969,0.6216328254538808
32.467942105263155,2525.2991106302447,81.99126532241532,383.8135033249305,76.36642615301287,2525.2991106302447,12412.338633514417,4.915195424282489,2.726421520276631,0.7073128120536996,0.6727712862565133
34.93588421052632,2214.241307338822,77.35647792735351,379.43456214398543,75.49515902576218,2214.241307338822,12590.940570392484,5.686345263572407,2.0962979151228165,0.7376824729903594,0.7239097470581851
37.40382631578948,1925.4858694883872,72.02053903585053,440.5644163929268,94.39285171650768,1925.4858694883872,12611.546761956091,6.549799695651391,0.6254723262812867,0.7353152770680068,0.7197492868783631
39.871768421052636,1644.3956216561066,65.56496141926516,559.3981855361484,134.47357251809734,1644.3956216561066,12535.917701619876,7.623419532700215,-1.874053835843064,0.7140570732974407,0.683824269395367
42.33971052631579,1450.9947983326576,61.43469973659468,620.2952435240043,157.09426637432296,1450.9947983326576,12551.501005837457,8.650272916388415,-3.495645872316107,0.7173455448036874,0.6892565506847893
44.80765263157894,1298.1088825653694,58.16521188795617,666.128847877614,175.0812139733951,1298.1088825653694,12585.886038012402,9.695554977745566,-4.876498552481591,0.7254768229416058,0.7028550780111323
47.27559473684211,1176.0641839097113,55.599133743030464,699.9415434410146,189.07733956429698,1176.0641839097113,12632.635717697845,10.741450926344745,-6.039216073266287,0.7363312543552394,0.7215296633125051
49.743536842105264,1078.2239120310164,53.63467089215373,723.8434929761391,199.63380023855237,1078.2239120310164,12687.581167006965,11.767111659680936,-6.9984454552706445,0.7485163167322699,0.7436047630877913
52.21147894736842,999.84694659574,52.20348780277407,739.4668285419698,207.23933839149504,999.84694659574,12747.848910769399,12.74980031111065,-7.7633082726596685,0.7609058485585983,0.7680816619351271
54.67942105263158,939.4316813781497,51.367580456257485,741.3571024520868,209.6137831797143,939.4316813781497,12819.69663956544,13.646225578382557,-8.191588266163148,0.7736064250925481,0.7973085571769539
57.14736315789474,894.7364330496075,51.13182787008529,724.3081077088392,204.79329346861817,894.7364330496075,12904.693868674509,14.422899741201245,-8.16782960702033,0.7874793294095691,0.8332948811062402
59.61530526315789,859.1529336061112,51.21866440466595,702.5692750997719,198.64678333185614,859.1529336061112,12981.782008931586,15.109978097197812,-8.03295500854066,0.8017556377870818,0.869281205050871
62.083247368421056,831.8106612231687,51.64150704440787,676.2963955691988,191.21830162537935,831.8106612231687,13051.544606201514,15.690523354208224,-7.779375164303888,0.816093256397111,0.9052675289955004
64.55118947368422,837.0138469441864,54.0302394261915,56.52105995145135,11.245855899827378,837.0138469441864,13323.519127433472,15.917919609186475,2.6694783869694945,1.6482829548861806,1.3375712766620775
67.01913157894737,817.8588077619626,54.81218705039999,11.10954402426217,2.2104385749247175,817.8588077619626,13321.30141274733,16.28802097173781,1.3844089179796608,17.614329992485917,1.3887097374318482
69.48707368421054,792.2496230755619,55.051107934939594,572.0795148233748,161.75167269246413,792.2496230755619,13220.001442583269,16.686661700465578,-6.219845695734929,0.853831983943086,1.0132265008293848
71.95501578947369,791.1817482031358,56.92949518430004,531.3106945912682,150.22456029747292,791.1817482031358,13262.043044821972,16.762321773652623,-5.439541442619697,0.8618796122630135,1.0492128247740213
74.42295789473684,795.3523902350829,59.19247744994388,488.62240573201035,138.15473093206475,795.3523902350829,13296.692663393287,16.717989191511922,-4.549777053004324,0.8671710563326861,1.0851991487186576
76.8909,804.4444349602552,61.854456604085485,443.59823375987037,125.42444617270219,804.4444349602552,13324.101667890809,16.563110003426285,-3.5526873558244527,0.8700819955863972,1.1211854726728738
