time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (unitless/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333333333333334,1.0,17380.774229115348,0.0,-8916.48907187775,0.2,0.00013541666666666666,72473.08833435136,15.145793151122788,0.4876000579548388,24094.6108084132,68.05737270077049
160.16130859524844,1334.6775716270702,8.333333333333334,11458.10068789443,14637.91523429009,0.0,-7885.098014014001,0.22168851053893993,0.00013541666666666666,72304.05766002728,16.46313567566719,0.453583751852707,20775.417505089863,75.09079388705038
381.1512250712649,3176.2602089272073,8.333333333333334,29105.6018228522,12100.385929581846,0.0,-6947.423665102416,0.25161422839506714,0.00013541666666666666,72098.86349911915,17.67138411471243,0.4253202375445936,17606.791611894525,84.68111157286279
451.0937780554277,3759.114817128564,8.333333333333334,35131.05369015312,11508.306750811795,0.0,-6729.597864299323,0.26108561577833916,0.00013541666666666666,72038.47087512493,17.946314459709868,0.41950715363380287,16845.20676340764,87.6885406953946
451.0937780554277,3759.114817128564,8.333333333333334,35131.05369015312,11508.306750811795,0.0,-6729.597864299323,0.26108561577833916,0.00013541666666666666,72038.47087512493,17.946314459709868,0.41950715363380287,16845.20676340764,87.6885406953946
778.1886932561695,6484.905777134745,8.333333333333334,66081.48577384558,9616.27716062384,0.0,-6035.03518780605,0.3053797188784396,0.00013541666666666666,71776.4721280036,18.599751307554005,0.4080342774200843,14300.071986846742,101.57433671224162
1229.5129152167665,10245.94096013972,8.333333333333334,116145.54387653199,8422.96777972716,0.0,-5572.586132941089,0.36649654060227044,0.00013541666666666666,71449.15829035346,18.145533712187945,0.42366029923452236,12463.997554606865,120.24308113524813
1372.3554883571612,11436.295736309678,8.333333333333334,133731.83144574403,8237.112721109643,0.0,-5505.918256018649,0.3858398057150323,0.00013541666666666666,71349.18907899244,17.848089895133477,0.43300937755092034,12116.740125764898,126.0314799759832
1372.3554883571612,11436.295736309678,8.333333333333334,133731.83144574403,8237.112721109643,0.0,-5505.918256018649,0.3858398057150323,0.00013541666666666666,71349.18907899244,17.848089895133477,0.43300937755092034,12116.740125764898,126.0314799759832
1761.2389795364406,14676.991496137005,8.333333333333334,185754.66047663195,7988.361767652369,0.0,-5420.70443990437,0.4385011118122263,0.00013541666666666666,71081.88576749088,16.412351213566637,0.4728847228257894,11499.756807332788,141.49270970085888
